n,n_left,n_right,density,seed,m,solver,language,matching_size,time_seconds,peak_memory_mb,status,error_message
64,32,32,0.05,0,51,lemon_hk,python,24,0.031471700000111014,4.082,optimal,
64,32,32,0.05,0,51,highs_lp,python,24,0.0045296999960555695,64.87890625,optimal,
64,32,32,0.05,0,51,scipy_lp,python,24,0.0059041999993496574,70.59375,optimal,
64,32,32,0.05,0,51,gurobi_lp,python,24,0.00786349999543745,75.984375,optimal,
64,32,32,0.05,1,51,lemon_hk,python,23,0.007857999997213483,4.082,optimal,
64,32,32,0.05,1,51,highs_lp,python,23,0.0011606000043684617,79.14453125,optimal,
64,32,32,0.05,1,51,scipy_lp,python,23,0.0027364999987185,79.15234375,optimal,
64,32,32,0.05,1,51,gurobi_lp,python,23,0.0021200000046519563,79.15234375,optimal,
64,32,32,0.05,2,51,lemon_hk,python,22,0.007768099996610545,4.094,optimal,
64,32,32,0.05,2,51,highs_lp,python,22,0.0011067000014008954,79.23828125,optimal,
64,32,32,0.05,2,51,scipy_lp,python,22,0.0031916000007186085,79.23828125,optimal,
64,32,32,0.05,2,51,gurobi_lp,python,22,0.002333500000531785,79.2421875,optimal,
128,64,64,0.05,0,205,lemon_hk,python,59,0.011142399998789188,4.094,optimal,
128,64,64,0.05,0,205,highs_lp,python,59,0.0032407999970018864,79.26171875,optimal,
128,64,64,0.05,0,205,scipy_lp,python,59,0.0041988000011770055,79.28125,optimal,
128,64,64,0.05,0,205,gurobi_lp,python,59,0.004144599995925091,79.41015625,optimal,
128,64,64,0.05,1,205,lemon_hk,python,60,0.007813500000338536,4.098,optimal,
128,64,64,0.05,1,205,highs_lp,python,60,0.0018390000041108578,79.65625,optimal,
128,64,64,0.05,1,205,scipy_lp,python,60,0.005249800000456162,79.65625,optimal,
128,64,64,0.05,1,205,gurobi_lp,python,60,0.0033492000002297573,79.6640625,optimal,
128,64,64,0.05,2,205,lemon_hk,python,59,0.008079500003077555,4.102,optimal,
128,64,64,0.05,2,205,highs_lp,python,59,0.0018567000006441958,79.6796875,optimal,
128,64,64,0.05,2,205,scipy_lp,python,59,0.00409850000141887,79.6875,optimal,
128,64,64,0.05,2,205,gurobi_lp,python,59,0.0037539000040851533,79.69140625,optimal,
256,128,128,0.05,0,819,lemon_hk,python,128,0.008640400003059767,4.172,optimal,
256,128,128,0.05,0,819,highs_lp,python,128,0.005073099993751384,79.8984375,optimal,
256,128,128,0.05,0,819,scipy_lp,python,128,0.010915299993939698,80.3203125,optimal,
256,128,128,0.05,0,819,gurobi_lp,python,128,0.020040199997310992,80.58203125,optimal,
256,128,128,0.05,1,819,lemon_hk,python,128,0.008870600002410356,4.16,optimal,
256,128,128,0.05,1,819,highs_lp,python,128,0.00495750000118278,81.10546875,optimal,
256,128,128,0.05,1,819,scipy_lp,python,128,0.011476899999252055,81.12890625,optimal,
256,128,128,0.05,1,819,gurobi_lp,python,128,0.007439399996655993,81.1328125,optimal,
256,128,128,0.05,2,819,lemon_hk,python,127,0.00858919999882346,4.164,optimal,
256,128,128,0.05,2,819,highs_lp,python,127,0.004995700001018122,81.24609375,optimal,
256,128,128,0.05,2,819,scipy_lp,python,127,0.011724500000127591,81.24609375,optimal,
256,128,128,0.05,2,819,gurobi_lp,python,127,0.00819960000080755,81.24609375,optimal,
